       MJD   Upper    Mean   Lower  Cenwave  Zeropoint  Filter 
 59899.513    99.0  25.759  22.933  5182.42     3631.0    cyan 
 59899.513    99.0  25.965  23.138  6198.96     3631.0  r-FLWO 
 59899.513    99.0    26.0   23.17  6366.38     3631.0   r-P48 
 59899.513    99.0  26.069  23.235  6629.82     3631.0  orange 
 59899.513    99.0  26.255  23.391  7645.77     3631.0       i 
  59900.37    99.0  23.921  22.305  4735.89     3631.0  g-FLWO 
  59900.37    99.0  23.957  22.338  4746.48     3631.0   g-P48 
  59900.37    99.0  24.058  22.428  5182.42     3631.0    cyan 
  59900.37    99.0  24.268  22.629  6198.96     3631.0  r-FLWO 
  59900.37    99.0  24.306  22.661  6366.38     3631.0   r-P48 
  59900.37    99.0  24.377  22.724  6629.82     3631.0  orange 
  59900.37    99.0  24.564  22.892  7645.77     3631.0       i 
 59901.364    99.0  22.886  21.887  4735.89     3631.0  g-FLWO 
 59901.364    99.0  22.918  21.914  4746.48     3631.0   g-P48 
 59901.364    99.0    23.0  22.003  5182.42     3631.0    cyan 
 59901.364    99.0  23.188   22.23  6198.96     3631.0  r-FLWO 
 59901.364    99.0  23.227  22.262  6366.38     3631.0   r-P48 
 59901.364    99.0  23.293  22.322  6629.82     3631.0  orange 
 59901.364    99.0   23.48  22.486  7645.77     3631.0       i 
 59901.387    99.0  22.869   21.88  4735.89     3631.0  g-FLWO 
 59901.387    99.0    22.9  21.907  4746.48     3631.0   g-P48 
 59901.387    99.0  22.982  21.994  5182.42     3631.0    cyan 
 59901.387    99.0  23.169  22.221  6198.96     3631.0  r-FLWO 
 59901.387    99.0  23.207  22.254  6366.38     3631.0   r-P48 
 59901.387    99.0  23.274  22.313  6629.82     3631.0  orange 
 59901.387    99.0   23.46  22.478  7645.77     3631.0       i 
 59903.267  23.119  21.844  21.315  4735.89     3631.0  g-FLWO 
 59903.267  23.153  21.867  21.353  4746.48     3631.0   g-P48 
 59903.267  23.248  21.955  21.451  5182.42     3631.0    cyan 
 59903.267  23.446  22.144  21.652  6198.96     3631.0  r-FLWO 
 59903.267  23.478  22.176  21.683  6366.38     3631.0   r-P48 
 59903.267  23.544  22.238  21.748  6629.82     3631.0  orange 
 59903.267  23.719  22.393  21.919  7645.77     3631.0       i 
 59903.347  23.053  21.814  21.293  4735.89     3631.0  g-FLWO 
 59903.347  23.088  21.837  21.332  4746.48     3631.0   g-P48 
 59903.347  23.182  21.926  21.431  5182.42     3631.0    cyan 
 59903.347  23.375  22.111  21.629  6198.96     3631.0  r-FLWO 
 59903.347  23.407  22.144   21.66  6366.38     3631.0   r-P48 
 59903.347  23.472  22.206  21.726  6629.82     3631.0  orange 
 59903.347  23.648  22.366  21.898  7645.77     3631.0       i 
 59904.074  22.498  21.567  21.109  4735.89     3631.0  g-FLWO 
 59904.074  22.528  21.596  21.147  4746.48     3631.0   g-P48 
 59904.074   22.61  21.668  21.256  5182.42     3631.0    cyan 
 59904.074  22.812  21.833   21.45  6198.96     3631.0  r-FLWO 
 59904.074  22.854  21.873  21.477  6366.38     3631.0   r-P48 
 59904.074  22.923  21.942  21.537  6629.82     3631.0  orange 
 59904.074  23.107  22.123  21.693  7645.77     3631.0       i 
 59905.305  21.771  21.208  20.844  4735.89     3631.0  g-FLWO 
 59905.305  21.799  21.235  20.882  4746.48     3631.0   g-P48 
 59905.305  21.873  21.305  20.985  5182.42     3631.0    cyan 
 59905.305  22.056  21.476  21.163  6198.96     3631.0  r-FLWO 
 59905.305  22.092  21.516  21.187  6366.38     3631.0   r-P48 
 59905.305  22.157  21.578  21.251  6629.82     3631.0  orange 
 59905.305  22.326   21.75  21.403  7645.77     3631.0       i 
 59905.364  21.749  21.193  20.832  4735.89     3631.0  g-FLWO 
 59905.364  21.779   21.22   20.87  4746.48     3631.0   g-P48 
 59905.364  21.852   21.29  20.974  5182.42     3631.0    cyan 
 59905.364  22.033  21.461   21.15  6198.96     3631.0  r-FLWO 
 59905.364  22.068    21.5  21.175  6366.38     3631.0   r-P48 
 59905.364  22.134  21.562  21.239  6629.82     3631.0  orange 
 59905.364  22.303  21.732  21.392  7645.77     3631.0       i 
 59905.593  21.672  21.137  20.789  4735.89     3631.0  g-FLWO 
 59905.593  21.701  21.164  20.826  4746.48     3631.0   g-P48 
 59905.593  21.774  21.231  20.929  5182.42     3631.0    cyan 
 59905.593  21.946  21.405  21.101  6198.96     3631.0  r-FLWO 
 59905.593   21.98  21.441  21.129  6366.38     3631.0   r-P48 
 59905.593  22.046  21.503  21.192  6629.82     3631.0  orange 
 59905.593  22.216  21.674  21.347  7645.77     3631.0       i 
 59907.525  21.053  20.721  20.468  4735.89     3631.0  g-FLWO 
 59907.525  21.079  20.737  20.495  4746.48     3631.0   g-P48 
 59907.525  21.142    20.8  20.578  5182.42     3631.0    cyan 
 59907.525  21.309  20.979  20.757  6198.96     3631.0  r-FLWO 
 59907.525  21.338  21.016  20.788  6366.38     3631.0   r-P48 
 59907.525  21.401  21.074  20.839  6629.82     3631.0  orange 
 59907.525   21.57  21.253  20.971  7645.77     3631.0       i 
 59907.777  20.985  20.672  20.428  4735.89     3631.0  g-FLWO 
 59907.777  21.011   20.69  20.457  4746.48     3631.0   g-P48 
 59907.777  21.073  20.752  20.537  5182.42     3631.0    cyan 
 59907.777  21.235   20.93  20.713  6198.96     3631.0  r-FLWO 
 59907.777  21.272  20.965  20.746  6366.38     3631.0   r-P48 
 59907.777  21.337  21.027  20.798  6629.82     3631.0  orange 
 59907.777  21.509  21.207  20.932  7645.77     3631.0       i 
 59908.369  20.843  20.565  20.338  4735.89     3631.0  g-FLWO 
 59908.369  20.866  20.587  20.366  4746.48     3631.0   g-P48 
 59908.369  20.916  20.647  20.448  5182.42     3631.0    cyan 
 59908.369   21.08  20.824  20.622  6198.96     3631.0  r-FLWO 
 59908.369  21.111  20.857  20.651  6366.38     3631.0   r-P48 
 59908.369  21.179   20.92  20.705  6629.82     3631.0  orange 
 59908.369  21.365  21.097  20.854  7645.77     3631.0       i 
 59908.405  20.835  20.559  20.334  4735.89     3631.0  g-FLWO 
 59908.405  20.858  20.581  20.361  4746.48     3631.0   g-P48 
 59908.405  20.908  20.641  20.442  5182.42     3631.0    cyan 
 59908.405  21.072  20.818  20.616  6198.96     3631.0  r-FLWO 
 59908.405  21.101   20.85  20.646  6366.38     3631.0   r-P48 
 59908.405   21.17  20.914  20.699  6629.82     3631.0  orange 
 59908.405  21.356  21.091  20.849  7645.77     3631.0       i 
 59909.449  20.614  20.388   20.19  4735.89     3631.0  g-FLWO 
 59909.449  20.638  20.412  20.223  4746.48     3631.0   g-P48 
 59909.449   20.69  20.477  20.307  5182.42     3631.0    cyan 
 59909.449  20.848  20.649  20.483  6198.96     3631.0  r-FLWO 
 59909.449  20.883  20.684  20.508  6366.38     3631.0   r-P48 
 59909.449  20.944  20.747  20.555  6629.82     3631.0  orange 
 59909.449  21.116  20.929  20.713  7645.77     3631.0       i 
 59910.365  20.442  20.251  20.079  4735.89     3631.0  g-FLWO 
 59910.365  20.463  20.275  20.113  4746.48     3631.0   g-P48 
 59910.365  20.524  20.339    20.2  5182.42     3631.0    cyan 
 59910.365  20.683  20.512  20.367  6198.96     3631.0  r-FLWO 
 59910.365  20.714  20.548  20.384  6366.38     3631.0   r-P48 
 59910.365  20.775  20.613  20.432  6629.82     3631.0  orange 
 59910.365  20.958  20.793  20.597  7645.77     3631.0       i 
  59910.39  20.438  20.247  20.076  4735.89     3631.0  g-FLWO 
  59910.39  20.459  20.271   20.11  4746.48     3631.0   g-P48 
  59910.39   20.52  20.336  20.197  5182.42     3631.0    cyan 
  59910.39  20.679  20.508  20.364  6198.96     3631.0  r-FLWO 
  59910.39   20.71  20.544  20.381  6366.38     3631.0   r-P48 
  59910.39  20.771   20.61  20.428  6629.82     3631.0  orange 
  59910.39  20.954   20.79  20.594  7645.77     3631.0       i 
  59911.48  20.268  20.095  19.957  4735.89     3631.0  g-FLWO 
  59911.48   20.29  20.115  19.991  4746.48     3631.0   g-P48 
  59911.48  20.351  20.188  20.077  5182.42     3631.0    cyan 
  59911.48  20.505  20.359  20.234  6198.96     3631.0  r-FLWO 
  59911.48  20.539  20.394   20.25  6366.38     3631.0   r-P48 
  59911.48  20.598  20.461  20.298  6629.82     3631.0  orange 
  59911.48  20.778  20.634  20.465  7645.77     3631.0       i 
 59914.392  19.899  19.779  19.691  4735.89     3631.0  g-FLWO 
 59914.392  19.924  19.807  19.724  4746.48     3631.0   g-P48 
 59914.392  19.976  19.872  19.794  5182.42     3631.0    cyan 
 59914.392  20.124   20.04  19.942  6198.96     3631.0  r-FLWO 
 59914.392  20.159  20.074   19.96  6366.38     3631.0   r-P48 
 59914.392  20.225  20.135  20.002  6629.82     3631.0  orange 
 59914.392  20.399    20.3  20.167  7645.77     3631.0       i 
 59915.183  19.816   19.71  19.625  4735.89     3631.0  g-FLWO 
 59915.183  19.841  19.734  19.658  4746.48     3631.0   g-P48 
 59915.183  19.897  19.799  19.725  5182.42     3631.0    cyan 
 59915.183  20.046  19.967  19.873  6198.96     3631.0  r-FLWO 
 59915.183  20.076  19.998  19.893  6366.38     3631.0   r-P48 
 59915.183   20.14  20.056  19.937  6629.82     3631.0  orange 
 59915.183  20.317  20.225    20.1  7645.77     3631.0       i 
 59915.517  19.783  19.679  19.601  4735.89     3631.0  g-FLWO 
 59915.517  19.807  19.705  19.629  4746.48     3631.0   g-P48 
 59915.517  19.865  19.768  19.698  5182.42     3631.0    cyan 
 59915.517  20.013  19.936  19.845  6198.96     3631.0  r-FLWO 
 59915.517  20.043  19.967  19.867  6366.38     3631.0   r-P48 
 59915.517  20.105  20.027  19.911  6629.82     3631.0  orange 
 59915.517  20.283  20.193  20.074  7645.77     3631.0       i 
 59918.887  19.502  19.425  19.364  4735.89     3631.0  g-FLWO 
 59918.887  19.526  19.451  19.395  4746.48     3631.0   g-P48 
 59918.887  19.577   19.51  19.461  5182.42     3631.0    cyan 
 59918.887  19.731   19.67  19.599  6198.96     3631.0  r-FLWO 
 59918.887  19.761  19.696  19.623  6366.38     3631.0   r-P48 
 59918.887  19.819  19.754  19.675  6629.82     3631.0  orange 
 59918.887   19.99   19.92  19.822  7645.77     3631.0       i 
  59922.59   19.27  19.215   19.16  4735.89     3631.0  g-FLWO 
  59922.59  19.295  19.239  19.184  4746.48     3631.0   g-P48 
  59922.59  19.345  19.288  19.246  5182.42     3631.0    cyan 
  59922.59  19.484  19.435  19.382  6198.96     3631.0  r-FLWO 
  59922.59  19.515  19.462  19.414  6366.38     3631.0   r-P48 
  59922.59  19.571  19.523  19.463  6629.82     3631.0  orange 
  59922.59  19.735  19.682  19.595  7645.77     3631.0       i 
 59923.355  19.228  19.179  19.123  4735.89     3631.0  g-FLWO 
 59923.355  19.253  19.199  19.148  4746.48     3631.0   g-P48 
 59923.355  19.303  19.248  19.206  5182.42     3631.0    cyan 
 59923.355  19.442  19.392  19.343  6198.96     3631.0  r-FLWO 
 59923.355  19.471  19.421  19.371  6366.38     3631.0   r-P48 
