 texplosion  fnickel    Pspin  log(Bfield)      Mns  thetaPB   mejecta    kappa  kappagamma     vejecta  temperature    alpha  cutoff_wavelength  log(nhhost)      A_V         MJD0   kenergy  mnickel            TSD   log(L0)  Peak_mag     Peak_MJD  log(E_rad)  log(Peak_lum)  Rise_Time    E_fold  tau_1  delta_m15     r_peak     frac 
  -11.99394  0.00175  2.76308     14.12084  2.07591  0.76351  11.99245  0.07198     0.31111  6027.70129    7748.4802  0.82789          4256.2455     17.00474    6e-05  59897.45468   2.59919    0.021   843591.29244  45.77713  18.64983  59963.32658    51.42161       44.64261   31.82536  46.29143   66.0    0.12433  -21.70988  0.99935 
   -3.98703  0.00281  0.79201     14.16133  1.48083  0.82942  66.11026  0.03112      0.0757  7645.82796   7154.41247   0.8595         4313.23331     18.02607  0.00059  59905.46159  23.05394  0.18588    41032.00169  48.02877  18.68391  59959.62326    51.57995        44.8204   27.98037  40.55584   49.5     0.1271  -21.77883  0.99934 
  -13.61178  0.01264  1.91585     14.22864  1.62906  0.39436  19.20486  0.04374      0.4018  5994.34807   9337.78483  0.52742         5863.85885     20.08885  0.06817  59895.83684   4.11645  0.24281   193728.41441  46.62887  18.65524  59959.62326    51.47076       44.67652   31.16077   43.5726   57.5    0.13368  -21.83824  0.99483 
   -13.0684  0.09933  1.26737     14.54591  1.96933  0.36819  37.55739    0.021      0.0114  4132.12887   8849.58272  0.75537          5946.4027     18.81036  0.00359  59896.38022   3.82534  3.73066    23774.64945  47.98125  18.67388  59959.62326    51.49577       44.70908   31.82536  46.29143   67.0    0.10543  -21.64282  0.97521 
   -8.82699  0.42383  1.80375     14.00903  1.60643  1.35815  14.15493  0.07279     0.08095  8149.84625   7196.02835  0.35072         4555.77512     19.50406  0.01773  59900.62164   5.60833   5.9993   465562.13491  46.29438  18.63678  59956.26172    51.48936       44.73077   31.37691  43.39821   67.5    0.14857  -21.76781  0.89688 
   -9.07655  0.08546  1.82577     14.40815  1.97481  0.46194  37.12307  0.01582     0.04587  3988.20822   8711.81659  0.96608         5620.32156     19.74883  0.03116  59900.37208    3.5223  3.17247    93310.82409  47.07155  18.62545  59963.32658    51.58658       44.84704   26.70881   41.8274   69.5    0.12335  -21.77979  0.95626 
   -12.2267  0.08346  1.37633     14.27613  1.89293  0.56371  21.74045  0.03386      0.0103  4507.77445    9500.8677  0.63545         5267.59291     19.79069  0.03431  59897.22192   2.63524  1.81449    93353.46354   47.2984  18.65022  59959.62326    51.45904       44.66307   31.16077  46.29143   59.5    0.11868  -21.68336   0.9845 
  -11.63609  0.00136  1.99573     14.35691  1.81972  0.36905  14.34935   0.0456     0.05024  5040.05086    5332.3115  0.63493         5766.74523     17.63278  0.00024  59897.81254   2.17435  0.01956   130079.67406  46.81444  18.67924  59963.32658    51.77707        45.0276   26.29077  43.14637   67.0    0.13708  -21.75194  0.99962 
   -7.35703  0.05543  1.65789      14.1389  1.74325   0.8261  33.30714  0.02493     0.01818  4722.59862   4845.56577  1.02647         4492.08133     16.98186    5e-05   59902.0916   4.43125   1.8461   234680.50053  46.70062  18.67207  59959.35503    51.69533        45.0001   23.39756  39.71922   64.0    0.12136  -21.65982  0.97426 
  -11.21775  0.19775  1.56659     14.22582  1.81849  0.69588  14.09669  0.08504     0.18097  6195.09193   8330.19532  0.50502         5125.90628     17.44362  0.00015  59898.23087    3.2273  2.78764   146488.40307  46.97284   18.6567  59959.35503    51.62806       44.89298   26.49613  39.27177   58.0    0.12166   -21.7306  0.96774 
  -13.37031  0.01743  2.13497     13.87946  1.62391  1.03172   9.98038  0.09501     0.08356   7548.5567   8366.31545  0.28926         5644.32407     18.28482  0.00107  59896.07831   3.39236  0.17396  1197391.17258  45.74239  18.70323  59963.32658    51.49317       44.72548   31.29632   45.0582   57.5    0.14876  -21.80187  0.99537 
  -12.21769   0.0219  1.72591     14.04338  1.46043  0.58031  14.33816  0.04689     0.02277  4537.24991   9706.96994  0.82827         5060.22001     16.85897    4e-05  59897.23093   1.76078  0.31403   330799.85156  46.43972  18.69447  59959.35503    51.49302        44.6958   25.79435  43.64279   60.5    0.12734  -21.67907  0.99363 
  -13.06181  0.29869  2.32758     13.89237  1.74317  1.41417   9.56084  0.10185     0.36194  8161.32856   6582.69725  0.16466         2885.90409     16.51425    2e-05  59896.38682   3.79879   2.8557  1439545.48039  45.61815  18.66569  59963.32658    51.38007       44.55081   38.74273  49.18464   71.5    0.14267  -21.71704  0.92455 
   -7.13046  0.22824  1.12619     14.20267   1.5477  0.72621  14.71316  0.06461     0.05278  5113.49089    8174.9347  0.96678         4429.97613     18.28938  0.00108  59902.31816   2.29492  3.35814    71676.61973  47.49993  18.62799  59959.62326     51.4012       44.60613   32.45585  43.39821   61.0    0.11894  -21.62905  0.97509 
  -12.19356  0.32599  3.02222     13.92212  1.78743  0.86683   4.74566  0.17332     0.12336  9021.68146   5359.01495  0.59428         2975.52794     17.90168  0.00044  59897.25507   2.30409  1.54706  2169952.95633  45.22397   18.6401  59963.32658    51.43952       44.63612   34.27012  46.29143   73.0    0.14174  -21.74267  0.93185 
   -11.2651  0.00184  1.59936      13.9295  1.73504  1.32596  10.64394  0.08149      0.4382  5556.04132   9975.97244  0.53207         4687.31135     16.63558    2e-05  59898.18352   1.96002  0.01959   570172.55704  46.34426  18.64619  59959.35503    51.67968       44.99364   24.06743  37.35994   50.5    0.13285   -21.7055  0.99974 
  -12.14047   0.0164  1.73225     13.96875  1.81907  1.15152   15.7442  0.06782     0.02162  6203.07007   7249.14579  0.46458          4912.5126     20.11049  0.07165  59897.30815   3.61378  0.25822    585304.1056  46.28409  18.65356  59959.62326    51.39396       44.60933   34.27012  46.29143   60.5    0.12479  -21.78997  0.99621 
  -14.26375  0.00288  2.59471     13.78669  1.80952  1.26447   6.87875  0.09754     0.02455  7147.27652   9686.95644  0.33916         4705.00834     17.56827  0.00021  59895.18487   2.09613   0.0198  3021130.01707  45.21806  18.60467  59959.62326    51.38168       44.57416   32.49523  46.29143   53.0    0.13121   -21.7529  0.99932 
  -12.77616  0.00135  2.29263     13.83572   1.6067   0.9993   8.85409  0.07481     0.01474  5396.63967    9098.7523  0.84505         4263.28637     16.32638    1e-05  59896.67247   1.53822  0.01194   1670994.6868  45.53114  18.59403  59959.62326    51.51478        44.7623   26.66942  43.39821   62.0    0.12549  -21.66705  0.99962 
  -11.42285   0.0554  2.72114     13.95205  2.00261  1.25748   8.95969  0.08265     0.07762  7253.82872   3694.81827  0.41129         5570.05209      17.6596  0.00025  59898.02577   2.81225  0.49634  1717160.28038  45.46613  18.61131  59956.26172     51.8169       45.14589   22.36968  34.71857   68.5    0.15502  -21.81049  0.98443 
  -12.58997  0.00267   1.9125     13.93763   1.8968  1.23749  17.38549  0.03724     0.11377  5114.14847   8848.03202  0.54301         5129.58758     19.87263  0.04143  59896.85865   2.71244  0.04644   858560.74258   46.0499  18.66159  59963.32658    51.52292       44.73563   27.31049  45.01987   64.5    0.13382    -21.715  0.99922 
  -13.36497  0.00139   1.6683     13.87976  1.55425  1.25055  14.84825  0.06616     0.05741  5754.03936   4048.64956  0.53611         5845.11468     18.45424  0.00158  59896.08366   2.93257  0.02063   698816.38973  46.17145  18.66812  59959.35503    51.35283       44.56132   34.71857  49.18464   59.0     0.1309  -21.72901  0.99964 
  -11.90591  0.14134  2.23105     13.86962  1.41491  0.75441  11.03496  0.06567     0.09368  6542.69319   7692.75335  0.76559         3931.40336     18.11084  0.00072  59897.54271   2.81781  1.55969  1192124.68978  45.64623  18.65059  59959.62326    51.40957       44.59611   35.84952  49.18464   74.0    0.13446  -21.69766  0.94663 
   -13.9498  0.00802  1.76304     13.87626  1.66659  1.19317  11.66305  0.09458     0.02219  6270.26022   8502.08909  0.52083         4703.52736     20.14751  0.07803  59895.49883   2.73533  0.09359   850454.59207   46.0685  18.66662  59963.45817    51.41247       44.63632   37.17332  46.29143   56.5    0.12035  -21.79366  0.99837 
  -24.47014  0.00514  2.26404     13.87711  1.60061  0.39524   8.47837  0.13834     0.01292  8546.41926   7370.61058  0.02709         2416.35138     17.36176  0.00013  59884.97848    3.6941   0.0436  1341671.31261  45.63572  18.65983  59959.62326    51.46472        44.6539   27.94204  47.95141   54.5    0.14242  -21.82427  0.99859 
