       MJD   Upper    Mean   Lower  Cenwave  Zeropoint      Filter 
 60184.136    99.0    99.0  76.426  5182.42     3631.0        cyan 
 60184.136    99.0    99.0  76.502  6366.38     3631.0       r-P48 
 60184.136    99.0    99.0  76.514  6463.63     3631.0  r-Magellan 
 60184.136    99.0    99.0  76.524  6629.82     3631.0      orange 
 60184.136    99.0    99.0  76.605  7654.38     3631.0           i 
 60184.974    99.0    99.0  27.052  4677.22     3631.0  g-Magellan 
 60184.974    99.0    99.0  27.084  4746.48     3631.0       g-P48 
 60184.974    99.0    99.0  27.173  5182.42     3631.0        cyan 
 60184.974    99.0    99.0  27.414  6366.38     3631.0       r-P48 
 60184.974    99.0    99.0  27.452  6463.63     3631.0  r-Magellan 
 60184.974    99.0    99.0  27.475  6629.82     3631.0      orange 
 60184.974    99.0    99.0  27.702  7654.38     3631.0           i 
 60188.185    99.0    99.0  23.886  4677.22     3631.0  g-Magellan 
 60188.185    99.0    99.0  23.894  4746.48     3631.0       g-P48 
 60188.185    99.0    99.0  23.918  5182.42     3631.0        cyan 
 60188.185    99.0    99.0  24.116  6366.38     3631.0       r-P48 
 60188.185    99.0    99.0  24.153  6463.63     3631.0  r-Magellan 
 60188.185    99.0    99.0  24.176  6629.82     3631.0      orange 
 60188.185    99.0    99.0    24.4  7654.38     3631.0           i 
 60188.975    99.0    99.0   23.57  4677.22     3631.0  g-Magellan 
 60188.975    99.0    99.0  23.578  4746.48     3631.0       g-P48 
 60188.975    99.0    99.0  23.597  5182.42     3631.0        cyan 
 60188.975    99.0    99.0  23.765  6366.38     3631.0       r-P48 
 60188.975    99.0    99.0  23.799  6463.63     3631.0  r-Magellan 
 60188.975    99.0    99.0  23.821  6629.82     3631.0      orange 
 60188.975    99.0    99.0  24.043  7654.38     3631.0           i 
 60189.015    99.0    99.0  23.555  4677.22     3631.0  g-Magellan 
 60189.015    99.0    99.0  23.563  4746.48     3631.0       g-P48 
 60189.015    99.0    99.0  23.582  5182.42     3631.0        cyan 
 60189.015    99.0    99.0  23.749  6366.38     3631.0       r-P48 
 60189.015    99.0    99.0  23.784  6463.63     3631.0  r-Magellan 
 60189.015    99.0    99.0  23.805  6629.82     3631.0      orange 
 60189.015    99.0    99.0  24.026  7654.38     3631.0           i 
 60191.396    99.0    99.0  22.883  5182.42     3631.0        cyan 
 60191.396    99.0    99.0  22.885  4677.22     3631.0  g-Magellan 
 60191.396    99.0    99.0  22.888  4746.48     3631.0       g-P48 
 60191.396    99.0    99.0  23.005  6366.38     3631.0       r-P48 
 60191.396    99.0    99.0  23.038  6463.63     3631.0  r-Magellan 
 60191.396    99.0    99.0  23.059  6629.82     3631.0      orange 
 60191.396    99.0    99.0  23.266  7654.38     3631.0           i 
 60194.607    99.0  24.102  22.209  4677.22     3631.0  g-Magellan 
 60194.607    99.0  24.128  22.229  4746.48     3631.0       g-P48 
 60194.607    99.0  24.192   22.25  5182.42     3631.0        cyan 
 60194.607    99.0  24.325  22.341  6366.38     3631.0       r-P48 
 60194.607    99.0   24.35  22.364  6463.63     3631.0  r-Magellan 
 60194.607    99.0  24.379  22.387  6629.82     3631.0      orange 
 60194.607    99.0  24.579  22.583  7654.38     3631.0           i 
 60197.818    99.0  22.665  21.707  4677.22     3631.0  g-Magellan 
 60197.818    99.0  22.675  21.724  4746.48     3631.0       g-P48 
 60197.818    99.0  22.691  21.758  5182.42     3631.0        cyan 
 60197.818    99.0  22.822  21.882  6366.38     3631.0       r-P48 
 60197.818    99.0  22.861  21.905  6463.63     3631.0  r-Magellan 
 60197.818    99.0  22.883  21.925  6629.82     3631.0      orange 
 60197.818    99.0  23.124    22.1  7654.38     3631.0           i 
 60198.349  27.847  22.516  21.649  4746.48     3631.0       g-P48 
 60198.349  27.849  22.506  21.632  4677.22     3631.0  g-Magellan 
 60198.349  27.859  22.526  21.685  5182.42     3631.0        cyan 
 60198.349  28.022  22.666  21.816  6366.38     3631.0       r-P48 
 60198.349  28.065  22.708  21.839  6463.63     3631.0  r-Magellan 
 60198.349  28.089   22.73  21.858  6629.82     3631.0      orange 
 60198.349  28.339  22.965  22.031  7654.38     3631.0           i 
 60199.964  24.071  22.106  21.445  4746.48     3631.0       g-P48 
 60199.964   24.08  22.091  21.423  4677.22     3631.0  g-Magellan 
 60199.964  24.118  22.107  21.478  5182.42     3631.0        cyan 
 60199.964  24.328  22.299  21.605  6366.38     3631.0       r-P48 
 60199.964   24.37  22.336  21.631  6463.63     3631.0  r-Magellan 
 60199.964  24.392  22.353  21.652  6629.82     3631.0      orange 
 60199.964  24.634   22.55  21.828  7654.38     3631.0           i 
 60200.935   23.38  21.885  21.298  4677.22     3631.0  g-Magellan 
 60200.935  23.381    21.9  21.322  4746.48     3631.0       g-P48 
 60200.935  23.446  21.917   21.36  5182.42     3631.0        cyan 
 60200.935  23.647  22.113  21.489  6366.38     3631.0       r-P48 
 60200.935  23.675  22.146  21.513  6463.63     3631.0  r-Magellan 
 60200.935  23.697  22.163  21.534  6629.82     3631.0      orange 
 60200.935  23.911  22.343  21.721  7654.38     3631.0           i 
 60201.029  23.328  21.866  21.288  4677.22     3631.0  g-Magellan 
 60201.029  23.328  21.882  21.311  4746.48     3631.0       g-P48 
 60201.029  23.382  21.901  21.349  5182.42     3631.0        cyan 
 60201.029  23.584  22.096  21.478  6366.38     3631.0       r-P48 
 60201.029  23.622  22.128  21.502  6463.63     3631.0  r-Magellan 
 60201.029  23.642  22.143  21.522  6629.82     3631.0      orange 
 60201.029  23.859  22.324  21.711  7654.38     3631.0           i 
 60201.302  23.175  21.811   21.26  4677.22     3631.0  g-Magellan 
 60201.302  23.185  21.827  21.276  4746.48     3631.0       g-P48 
 60201.302  23.206  21.855  21.318  5182.42     3631.0        cyan 
 60201.302  23.434   22.04  21.446  6366.38     3631.0       r-P48 
 60201.302  23.474  22.071  21.471  6463.63     3631.0  r-Magellan 
 60201.302  23.496  22.086   21.49  6629.82     3631.0      orange 
 60201.302  23.714  22.271  21.683  7654.38     3631.0           i 
  60204.24  21.992   21.32   20.95  4677.22     3631.0  g-Magellan 
  60204.24   22.02   21.34  20.971  4746.48     3631.0       g-P48 
  60204.24  22.074  21.372  21.013  5182.42     3631.0        cyan 
  60204.24  22.203  21.519  21.154  6366.38     3631.0       r-P48 
  60204.24  22.235  21.541  21.184  6463.63     3631.0  r-Magellan 
  60204.24  22.262  21.572  21.201  6629.82     3631.0      orange 
  60204.24  22.479  21.772  21.382  7654.38     3631.0           i 
 60205.278  21.734  21.198   20.86  4677.22     3631.0  g-Magellan 
 60205.278  21.756  21.209   20.88  4746.48     3631.0       g-P48 
 60205.278  21.812  21.245  20.919  5182.42     3631.0        cyan 
 60205.278  21.959  21.379  21.064  6366.38     3631.0       r-P48 
 60205.278  21.982  21.402  21.092  6463.63     3631.0  r-Magellan 
 60205.278   22.02   21.43  21.108  6629.82     3631.0      orange 
 60205.278  22.231  21.628  21.285  7654.38     3631.0           i 
 60205.321  21.725  21.193  20.856  4677.22     3631.0  g-Magellan 
 60205.321  21.747  21.204  20.876  4746.48     3631.0       g-P48 
 60205.321  21.804   21.24  20.916  5182.42     3631.0        cyan 
 60205.321  21.949  21.373   21.06  6366.38     3631.0       r-P48 
 60205.321  21.973  21.398  21.088  6463.63     3631.0  r-Magellan 
 60205.321  22.011  21.424  21.105  6629.82     3631.0      orange 
 60205.321  22.222  21.622  21.281  7654.38     3631.0           i 
  60207.27  21.374  20.982  20.702  4677.22     3631.0  g-Magellan 
  60207.27  21.389  21.001  20.724  4746.48     3631.0       g-P48 
  60207.27  21.431  21.026  20.755  5182.42     3631.0        cyan 
  60207.27  21.581  21.167  20.889  6366.38     3631.0       r-P48 
  60207.27  21.611  21.192  20.919  6463.63     3631.0  r-Magellan 
  60207.27  21.629  21.211  20.944  6629.82     3631.0      orange 
  60207.27  21.834  21.393  21.115  7654.38     3631.0           i 
 60207.319  21.366  20.977  20.698  4677.22     3631.0  g-Magellan 
 60207.319  21.381  20.996   20.72  4746.48     3631.0       g-P48 
 60207.319  21.423  21.021  20.751  5182.42     3631.0        cyan 
 60207.319  21.572  21.162  20.885  6366.38     3631.0       r-P48 
 60207.319  21.604  21.187  20.915  6463.63     3631.0  r-Magellan 
 60207.319  21.623  21.207   20.94  6629.82     3631.0      orange 
 60207.319  21.826  21.388  21.111  7654.38     3631.0           i 
 60207.451  21.344  20.962  20.688  4677.22     3631.0  g-Magellan 
 60207.451   21.36   20.98  20.709  4746.48     3631.0       g-P48 
 60207.451  21.404  21.007   20.74  5182.42     3631.0        cyan 
 60207.451  21.553  21.149  20.875  6366.38     3631.0       r-P48 
 60207.451  21.586  21.173  20.904  6463.63     3631.0  r-Magellan 
 60207.451  21.605  21.194  20.928  6629.82     3631.0      orange 
 60207.451  21.804  21.374    21.1  7654.38     3631.0           i 
  60208.16  21.238  20.889  20.636  4677.22     3631.0  g-Magellan 
