       Name        RA_deg        DEC_deg  Redshift         Method     EBV  Explosion      Peak  Quality  Survey 
   PTF10uhf  253.19456667  +47.606044440    0.2882  Host_spectrum  0.0176   55423.52   55450.9     Gold     PTF 
   PTF10vqv  45.778333330  -1.5430277800    0.4518  Host_spectrum  0.0557   55424.96  55468.57     Gold     PTF 
   PTF12dam  216.19250000  +46.230083330    0.1073  Host_spectrum  0.0107   56020.06  56103.23     Gold     PTF 
   PTF12gty  240.31345833  +21.388166670    0.1768    SN_features    0.06   56070.99  56143.18   Silver     PTF 
   PTF12hni  337.98275000  -6.7969440000    0.1056    SN_features  0.0514    56125.5  56155.23   Silver     PTF 
   PTF12mxx  337.56970000  +27.972780560    0.3296  Host_spectrum  0.0413   56228.62  56289.08     Gold     PTF 
    SCP06F6  218.11414583  +33.540230560     1.189       Mg_Lines  0.0083   53759.74  53851.06     Gold   Other 
  SDSS17789  22.317200000  +0.7105230000    0.3858    SN_features  0.0218   54262.63  54351.42   Bronze    SDSS 
     SN1000  150.02442500  +2.2732281000    3.8993    Lyman_break  0.0164   53954.54  54420.05   Bronze   Other 
     SN2213  333.41654170  -17.756801700    2.0458    Lyman_break  0.0242   53506.64   53674.0   Bronze   Other 
 SNLS06D4eu  333.97621250  -18.179322220    1.5881     Host_lines  0.0243   53947.32  53998.52     Gold    SNLS 
 SNLS07D2bv  150.02758333  +2.6432777800       1.5    SN_features  0.0164   54136.31   54185.5     Gold    SNLS 
 SNLS07D3bs  215.46027500  +53.174606000     0.757    SN_features  0.0091   54128.18  54180.87   Silver    SNLS 
  SSS120810  349.50750000  -56.157111100     0.156     Host_lines  0.0158   56120.73   56149.7   Silver   Other 
   UID30901  149.82187500  +2.0606940000      0.37        Photo-z  0.0173   56718.84  56788.97   Bronze   Other 
   2022acsx  93.246382800  +68.812597800      0.28     Host_lines  0.0988    59897.0   59958.0     Gold     ZTF 
    2023cmx  106.72770800  37.9765390000     0.233     Host_lines  0.0636    59950.0   60045.0     Gold     ZTF 
    2023wwx  340.78639727  -23.791908060     0.308     Host_lines  0.0206    60207.0   60248.0     Gold     ZTF 
