       Name        RA_deg        DEC_deg  Redshift         Method     EBV  Explosion      Peak  Quality  Survey 
    2018lfd  348.74716700  +48.757719000    0.2686     Host_lines  0.1506   58440.63  58492.49     Gold     ZTF 
    2018lfe  143.37314815  +0.0523300800      0.35     Host_lines  0.0286   58429.05  58468.55     Gold     ZTF 
    2018lzv  191.00966700  +56.029028000     0.434     Host_lines  0.0081   58268.24   58341.3     Gold     ZTF 
    2018lzw  114.88650000  +27.734083330    0.3198     Host_lines  0.0373   58291.57  58355.61   Silver     ZTF 
    2018lzx  337.36350000  +13.177722220    0.4373     Host_lines  0.0529   58308.98  58436.12     Gold     ZTF 
   2019aamp  219.45529167  +20.304611110     0.404     Host_lines  0.0237   58544.36  58585.05     Gold     ZTF 
   2019aamq  313.90058333  -8.6753888900     0.386     Host_lines  0.0636   58591.78  58692.47     Gold     ZTF 
   2019aamr  232.34812500  +38.103500000      0.42    SN_features  0.0118   58653.86  58688.44     Gold     ZTF 
   2019aams  355.90066667  +12.483611110     0.636     Host_lines  0.0448   58680.37  58724.42     Gold     ZTF 
   2019aamt  318.78333333  +32.717027780    0.2138     Host_lines   0.126   58729.86   58772.2     Gold     ZTF 
   2019aamu  43.787041670  +11.456222220     0.259     Host_lines  0.1925   58768.15  58851.77     Gold     ZTF 
   2019aamv  191.25687500  +33.553916670    0.3996     Host_lines  0.0127   58816.74  58913.31     Gold     ZTF 
   2019aamw  357.22725000  +24.999944440      0.22    SN_features  0.0526   58779.86  58850.16   Silver     ZTF 
   2019aamx  239.45112500  +27.467638890      0.41     Host_lines  0.0362    58632.2  58696.34     Gold     ZTF 
    2019bgu  149.31393065  +32.001561170     0.148        Unknown  0.0123   58528.74  58557.39     Gold     ZTF 
    2019cca  180.71416700  -16.663239000    0.4103    SN_features  0.0462   58506.22  58555.75     Gold     ZTF 
    2019cdt  124.47470800  +65.479589000     0.153    SN_features  0.0441   58553.32  58582.35     Gold     ZTF 
    2019cwu  222.90539600  +48.987147000      0.32    SN_features  0.0186   58543.81   58604.5     Gold     ZTF 
    2019dgr  146.38616667  +4.9339444400    0.3815     Host_lines  0.0348   58535.97  58576.39     Gold     ZTF 
    2019dlr  169.39241720  +0.5007742000      0.26    SN_features  0.0309   58537.85  58589.51     Gold     ZTF 
    2019dwa  234.73950000  +56.605050000     0.082    SN_features    0.01   58576.27   58613.4   Silver     ZTF 
    2019enz  209.27533561  +27.993909380     0.255    SN_features  0.0121    58595.5   58628.7     Gold   ATLAS 
    2019eot  270.12475290  +50.295360200    0.3057    SN_features  0.0366   58574.98  58642.46     Gold     ZTF 
    2019gam  154.82639333  +17.212054444    0.1235     Host_lines  0.0272   58598.37  58676.61   Silver     ZTF 
    2019gfm  233.94413927  +24.062479880   0.18167  Host_spectrum  0.0465   58624.68  58649.33     Gold     ZTF 
    2019gqi  215.30006000  +28.901634290    0.3642     Host_lines  0.0129   58589.59  58630.64     Gold     ZTF 
    2019hge  336.08837500  +24.788089000    0.0866     Host_lines   0.058   58623.37  58686.46   Silver     ZTF 
    2019hno  294.80401230  +62.728020000      0.26    SN_features  0.0583   58624.85  58662.03     Gold     ZTF 
    2019ieh  250.54516700  +6.9840190000     0.032     Host_lines  0.0862   58657.09  58670.38   Silver     ZTF 
    2019itq  328.61983246  -8.3472720700     0.481     Host_lines  0.0386    58631.3  58678.46     Gold     ZTF 
      2019J  150.94487805  +6.7734568000    0.1346     Host_lines  0.0229   58481.56  58536.43   Silver     ZTF 
    2019kcy  212.08242288  +8.9669485000     0.399     Host_lines  0.0227   58628.13  58693.28     Gold     ZTF 
    2019kwq  256.99516700  +58.701083000      0.49     Host_lines  0.0257   58499.83  58555.37     Gold     ZTF 
    2019kws  213.76858300  +50.651889000    0.1977     Host_lines  0.0142   58532.07   58575.4     Gold     ZTF 
    2019kwt  294.84412500  +78.762111000    0.3562     Host_lines  0.0775   58548.46  58634.96     Gold     ZTF 
    2019kwu  209.41570800  +64.355167000       0.6    SN_features  0.0138   58582.38  58622.37     Gold     ZTF 
    2019lsq  1.1691670000  +42.869819000    0.1295     Host_lines  0.0829   58666.97  58709.04     Gold     ZTF 
    2019neq  268.61140159  +47.261284420    0.1059     Host_lines  0.0334   58701.21  58734.37     Gold     ZTF 
    2019nhs  13.006054690  +7.6166124800     0.189     Host_lines  0.0514   58692.53  58732.37     Gold     ZTF 
    2019obk  338.47535938  -2.1617370540    0.1656     Host_lines   0.048   58687.04  58733.32   Silver     ZTF 
    2019otl  43.090120250  -17.803473440     0.514    SN_features  0.0241    58629.7  58715.54     Gold     ZTF 
    2019pud  318.22920800  -16.635300000    0.1136     Host_lines  0.0619   58725.26  58752.88     Gold     ZTF 
    2019pvs  319.61161575  -20.733380050     0.167     Host_lines  0.0392   58679.89  58743.25   Silver     ZTF 
    2019qgk  337.48979167  -4.1006111100    0.3468     Host_lines   0.054   58708.44  58751.68     Gold     ZTF 
    2019sgg  15.299042000  +14.026500000    0.5726        Unknown  0.0373   58702.86  58775.25     Gold     ZTF 
    2019sgh  18.164250000  +36.473556000     0.344     Host_lines  0.0599    58734.4  58762.29     Gold     ZTF 
    2019szu  2.5547500000  -19.692350000     0.212     Host_lines   0.018   58721.75  58865.11     Gold     ZTF 
    2019ujb  135.81320800  +40.242361000    0.2008     Host_lines  0.0165   58770.98  58816.59     Gold     ZTF 
    2019unb  146.98754200  +0.8266500000    0.0635     Host_lines  0.1045    58764.5  58826.57   Silver     ZTF 
    2019une  154.29519727  +41.600652400    0.1666  Host_spectrum  0.0148   58765.99  58814.25   Bronze     ZTF 
    2019vvc  138.37554167  +44.773944440    0.3314     Host_lines  0.0115   58790.93  58846.52     Gold     ZTF 
    2019xaq  208.69508300  +84.067100000       0.2     Host_lines  0.1004   58812.83  58840.48     Gold     ZTF 
    2019xdy  126.21387500  +22.179444440    0.2206     Host_lines  0.0425   58776.41  58834.42     Gold     ZTF 
    2019zbv  153.75468334  +43.414909780    0.3785     Host_lines  0.0119   58813.72  58872.48     Gold     ZTF 
    2019zeu  153.48929110  +8.2801731600      0.39    SN_features  0.0304    58816.9  58854.43     Gold     ZTF 
   2020abjc  142.00113980  +14.121283962     0.219     Host_lines  0.0275   59112.71  59243.31     Gold     ZTF 
