 texplosion  fnickel    Pspin  log(Bfield)      Mns  thetaPB   mejecta    kappa  kappagamma     vejecta  temperature    alpha  cutoff_wavelength  log(nhhost)      A_V         MJD0  kenergy  mnickel             TSD   log(L0)  Peak_mag     Peak_MJD  log(E_rad)  log(Peak_lum)  Rise_Time    E_fold  tau_1  delta_m15     r_peak     frac 
  -14.11073  0.04631  1.62265     13.10938   1.6683  1.06756   7.77717  0.31645     0.01536  7818.88682   4289.46546  4.69104         2354.10916     19.65512  0.02511  59955.19334  2.83621  0.36016  24647421.58116   44.6789  18.06163    60051.177    51.45945       44.42948   69.96308  80.91791   83.0    0.07366  -22.08775  0.99342 
  -18.73763  0.00275  1.78644      13.2215  1.70856  1.07692   8.97827  0.25593     0.01535  7443.83613   4921.43233  0.39482         3447.77652     18.20734   0.0009  59950.56644  2.96765  0.02469  18256570.35273  44.73608  18.05525  60055.18355    51.51571       44.48774   68.43761  79.96992   82.5    0.07015    -22.069   0.9995 
  -15.98719  0.19981  1.39354     13.18765    1.511  0.70974   9.36775  0.33776     0.01275  8438.72067   4771.41497  0.73814         2147.12129     20.17654  0.08342  59953.31689  3.97938  1.87175  11482191.13809  45.09985  18.04624  60056.29316    51.56305       44.58107   66.05774  72.45595   79.0    0.07209  -22.19325  0.97251 
  -14.59132  0.38514  1.40473      13.2333  1.51116  0.56276   7.90902   0.1913     0.01142  7384.67794   4660.02219  0.03542         4104.45225     20.17935  0.08396  59954.71275  2.57284  3.04605   9456057.80343  45.17726  18.03827   60057.5719    51.54819       44.53839   66.83316  76.62744   84.0    0.07498  -22.09164  0.95371 
  -16.01007  0.01611  1.70471      13.1255  1.71828  1.17582   9.33256  0.22036     0.01023  6881.66093   5106.47847  3.11619         2534.37272     16.09862    1e-05    59953.294  2.63642  0.15031  26014094.85683  44.62543  18.04337  60054.52212    51.51753        44.4977   71.55763   76.8499   87.0    0.07143  -22.00408  0.99711 
  -13.63274  0.01653  1.48257     12.97498  1.74744  1.38823   7.61342  0.29158      0.0105  7333.75912   4992.20551  0.81709          3668.7936      19.1368  0.00761  59955.67133  2.44264  0.12582  40020372.56539  44.56693  18.02543  60060.62167    51.53656       44.53753   70.91107    75.023   86.0    0.07381  -22.06035  0.99809 
  -15.88199  0.00666  1.79373     13.25859  1.83769  0.92052   8.72491  0.18954      0.0113  6909.84412   4880.47245  1.41103         2287.13026     19.45543  0.01585  59953.42208  2.48499  0.05808  16688585.18388  44.80318  18.04242  60055.18355    51.54887       44.54783   63.58428  74.92941   86.5    0.07187  -22.00468   0.9989 
  -14.84045  0.02748  1.59468     13.18252  1.52067  0.74474   5.65382  0.24297     0.02344   7560.2504   4534.13539  0.09823         4312.63992     17.86686  0.00041  59954.46362  1.92771  0.15538  15493919.93543  44.85537    18.043  60056.29316    51.43171       44.38971   77.94325  82.83157   87.5    0.07179  -22.02396  0.99684 
  -16.20296  0.00185  2.04001      13.3666  2.06649  0.93359   8.85972  0.27376     0.01238   7109.8332   4839.52917   3.7552         2506.52521     16.91107    5e-05  59953.10111  2.67157  0.01641   14760888.5617   44.7957  18.02759  60056.29316    51.45985       44.45078   74.20376  76.67722   84.0    0.06832  -22.03228  0.99967 
  -13.48136   0.0088   1.7049     13.33905  1.55984  0.64579   9.99294  0.19111     0.01161  7161.75048   4827.48158  3.49251         2202.01463     16.86934    4e-05  59955.82272  3.05744  0.08798   8834732.34903  45.05234  18.05416  60054.52212    51.41579       44.37547   74.80604  81.02187   83.5    0.07374  -22.01466  0.99814 
  -15.44564  0.00159  1.86358     13.50438  1.77276  0.53829  11.21421  0.18936     0.01026   7362.6842   7959.47651  1.11988         2498.91816     16.80128    4e-05  59953.85844  3.62634  0.01789   5602662.92213  45.22841  18.08648  60051.31904    51.46277       44.45981   68.43761    75.023   74.0    0.07445  -22.01905  0.99963 
   -14.3529  0.00201  1.79105     13.33988  1.76997  0.79541   7.56653  0.29535     0.01159  7211.72114   7338.49597  2.51019         2292.23042     16.47885    2e-05  59954.95118  2.34748  0.01519  11021359.17304  44.96836  18.03992   60057.5719     51.5103       44.53887   66.38425  69.25685   76.0    0.07355  -21.99104  0.99971 
   -15.6489  0.18312  1.42849      12.9994  1.54141  0.96396   7.02942  0.26052     0.01374   7569.6081   4880.67483  0.44834          3497.8097     17.13603    8e-05  59953.65517  2.40267   1.2872  29288187.14325  44.68032  18.03817  60055.31023    51.48425       44.46527   69.96308  78.44445   85.5    0.07667   -22.0405  0.97857 
