          MJD      Mag      Raw  MagErr  Telescope  Instrument  Filter     UL  System  Ignore               Source 
 59908.499693  20.6169  20.8262    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
 59909.464253  20.5987  20.8081    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
 59909.512524  20.2971  20.4503    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 59914.566626  20.0836  20.2368    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 59915.585026  20.3586  20.5118    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 59917.472938  19.3764  19.5296    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 59926.565222  18.8978   19.051    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 59927.395456  20.0376  20.1908    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 59957.135173   18.755  18.9912    -1.0        P48         ZTF       g   True      AB    True                  ZTF 
 59957.421468  20.5892  20.7424    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 59958.447483  19.9533  20.1066    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 59959.366132  19.6357   19.789    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 59963.461239  19.8123  19.9655    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 59965.221724  19.8431  20.0793    -1.0        P48         ZTF       g   True      AB    True                  ZTF 
 59966.441696  20.2001  20.3533    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 59967.245902  19.8889  20.0528    -1.0        P48         ZTF       r   True      AB    True                  ZTF 
 59967.356202  19.9926  20.1458    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 59969.261145  20.1281  20.3643    -1.0        P48         ZTF       g   True      AB   False                  ZTF 
 59969.304074  20.7443  20.9082  0.2713        P48         ZTF       r  False      AB   False                  ZTF 
 59969.404605  20.2576  20.4108  0.3524      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
 59971.305127  20.0883  20.2522    -1.0        P48         ZTF       r   True      AB   False                  ZTF 
 59979.267824  18.7034  18.9396    -1.0        P48         ZTF       g   True      AB    True                  ZTF 
 59979.403206  18.6309  18.7948    -1.0        P48         ZTF       r   True      AB    True                  ZTF 
 59982.151874  18.7946  19.0308    -1.0        P48         ZTF       g   True      AB    True                  ZTF 
 59982.209421  19.4084  19.5723    -1.0        P48         ZTF       r   True      AB    True                  ZTF 
 59984.196955  20.0589  20.2951  0.2863        P48         ZTF       g  False      AB   False                  ZTF 
  59984.22552  19.6134  19.7773  0.1256        P48         ZTF       r  False      AB   False                  ZTF 
 59985.110312  18.9594  19.1126    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
  59989.10182  19.7398  19.9492  0.2657      ATLAS       ATLAS    cyan  False      AB   False  2018PASP..130f4505T 
 59992.132662  19.3733  19.6095  0.2837        P48         ZTF       g  False      AB   False                  ZTF 
 59992.172338  19.0287  19.1926    -1.0        P48         ZTF       r   True      AB    True                  ZTF 
 59993.094584  19.3082  19.5175  0.1558      ATLAS       ATLAS    cyan  False      AB   False  2018PASP..130f4505T 
 59994.218333   19.292  19.4558  0.1118        P48         ZTF       r  False      AB   False                  ZTF 
 59994.259074  19.1812  19.4173  0.1331        P48         ZTF       g  False      AB   False                  ZTF 
 59997.084462  19.2757   19.485  0.1642      ATLAS       ATLAS    cyan  False      AB   False  2018PASP..130f4505T 
 59998.319942  18.9907     19.2  0.1124      ATLAS       ATLAS    cyan  False      AB   False  2018PASP..130f4505T 
 60001.417957  18.9764  19.1296  0.1672      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
 60009.251922  18.9241  19.0773  0.1454      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
 60013.046968  18.5693  18.7225  0.1558      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
  60013.14978  18.5236  18.6875  0.0842        P48         ZTF       r  False      AB   False                  ZTF 
 60013.280844  18.4277  18.6639  0.1051        P48         ZTF       g  False      AB   False                  ZTF 
 60014.344636  18.7921  18.9453  0.1998      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
 60015.321493  18.3977  18.5509  0.0666      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
 60015.774762  18.4261  18.6354  0.0769      ATLAS       ATLAS    cyan  False      AB   False  2018PASP..130f4505T 
 60017.187858  18.3909  18.6271  0.1137        P48         ZTF       g  False      AB   False                  ZTF 
 60018.341141  18.3989  18.5521  0.0732      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
 60019.346219  18.3934  18.5466  0.0662      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
 60021.181701  18.3003  18.4641  0.0621        P48         ZTF       r  False      AB   False                  ZTF 
 60021.199837  18.2559  18.4921  0.0771        P48         ZTF       g  False      AB   False                  ZTF 
 60021.361914   18.361  18.5142  0.0723      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
 60023.303357   18.368  18.5212  0.3305      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
 60025.038608  18.4075  18.5607  0.1061      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
 60027.323944  18.1986  18.3518  0.1854      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
  60029.20956  18.2968    18.45  0.0576      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
 60030.265829   18.218  18.3712  0.0659      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
 60031.159282  18.1543  18.3182  0.0688        P48         ZTF       r  False      AB   False                  ZTF 
 60031.183819  18.0852  18.3213  0.0576        P48         ZTF       g  False      AB   False                  ZTF 
 60031.280878  18.1557  18.3089  0.0639      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
 60034.346446  18.3434  18.4967  0.1801      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
 60035.328753  17.8651  18.0183  0.1549      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
 60036.182604  18.0313  18.1951  0.0714        P48         ZTF       r  False      AB   False                  ZTF 
 60036.284849  17.9601  18.1963   0.082        P48         ZTF       g  False      AB   False                  ZTF 
 60039.359669  18.2555  18.4087  0.1826      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
 60041.312904  18.0828   18.236  0.0907      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
 60043.193807  18.0475  18.2114  0.0635        P48         ZTF       r  False      AB   False                  ZTF 
 60043.283205  18.2138    18.45    -1.0        P48         ZTF       g   True      AB    True                  ZTF 
 60043.316697  18.0485  18.2017  0.0714      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
 60044.334042  18.1039  18.2571  0.0536      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
 60045.159884  17.9588  18.1949  0.0614        P48         ZTF       g  False      AB   False                  ZTF 
 60045.226469   18.046  18.2098  0.0519        P48         ZTF       r  False      AB   False                  ZTF 
 60045.292028  18.1149  18.3242   0.077      ATLAS       ATLAS    cyan  False      AB   False  2018PASP..130f4505T 
 60046.264541   18.131  18.3403  0.0752      ATLAS       ATLAS    cyan  False      AB   False  2018PASP..130f4505T 
 60048.343661  18.1303  18.3396  0.0515      ATLAS       ATLAS    cyan  False      AB   False  2018PASP..130f4505T 
 60049.165173  17.9862  18.2224  0.0659        P48         ZTF       g  False      AB   False                  ZTF 
 60049.196064  18.0856  18.2494  0.0622        P48         ZTF       r  False      AB   False                  ZTF 
  60049.98359  18.1037   18.313  0.0978      ATLAS       ATLAS    cyan  False      AB   False  2018PASP..130f4505T 
 60051.177002  18.0866  18.2505    0.05        P48         ZTF       r  False      AB   False                  ZTF 
 60051.203009  17.9717  18.2078   0.057        P48         ZTF       g  False      AB   False                  ZTF 
 60051.319035  18.1081  18.3174  0.0507      ATLAS       ATLAS    cyan  False      AB   False  2018PASP..130f4505T 
 60052.247283  18.0757   18.285  0.0536      ATLAS       ATLAS    cyan  False      AB   False  2018PASP..130f4505T 
 60053.206597  18.0945  18.2584  0.0703        P48         ZTF       r  False      AB   False                  ZTF 
 60055.183553  18.0616  18.2977   0.067        P48         ZTF       g  False      AB   False                  ZTF 
 60055.203588  18.0708  18.2346  0.0628        P48         ZTF       r  False      AB   False                  ZTF 
  60055.31023  18.1203  18.3296  0.0523      ATLAS       ATLAS    cyan  False      AB   False  2018PASP..130f4505T 
 60056.293163  18.0736  18.2829  0.0463      ATLAS       ATLAS    cyan  False      AB   False  2018PASP..130f4505T 
 60065.183368   18.106  18.3421  0.1077        P48         ZTF       g  False      AB   False                  ZTF 
 60065.204675  18.1073  18.2712  0.0832        P48         ZTF       r  False      AB   False                  ZTF 
 60068.250876  18.2198   18.373  0.0819      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
   60071.2965  18.1355  18.2887  0.1226      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
 60077.286721   18.343  18.5523  0.0827      ATLAS       ATLAS    cyan  False      AB   False  2018PASP..130f4505T 
 60164.494467   19.169  19.3329  0.2576        P48         ZTF       r  False      AB   False                  ZTF 
 60164.496828  18.7635  18.9274    -1.0        P48         ZTF       r   True      AB    True                  ZTF 
 60164.499178   18.579  18.7429    -1.0        P48         ZTF       r   True      AB    True                  ZTF 
 60164.501539  18.5892  18.7531    -1.0        P48         ZTF       r   True      AB    True                  ZTF 
 60164.503888  18.3082  18.4721    -1.0        P48         ZTF       r   True      AB    True                  ZTF 
 60165.494212  18.5007  18.6646    -1.0        P48         ZTF       r   True      AB    True                  ZTF 
 60165.496608   19.009  19.1729    -1.0        P48         ZTF       r   True      AB    True                  ZTF 
 60165.499004  19.0715  19.2354    -1.0        P48         ZTF       r   True      AB    True                  ZTF 
   60165.5014   18.914  19.0779    -1.0        P48         ZTF       r   True      AB    True                  ZTF 
