       MJD   Upper    Mean   Lower  Cenwave  Zeropoint  Filter 
 59993.095  19.288  19.258  19.219  6629.82     3631.0  orange 
 59993.527  19.093  19.056  19.017  4746.48     3631.0       g 
 59993.527  19.122  19.086  19.046  5182.42     3631.0    cyan 
 59993.527  19.227  19.196  19.161  6366.38     3631.0       r 
 59993.527  19.267  19.237    19.2  6629.82     3631.0  orange 
 59994.218  19.062  19.026  18.987  4746.48     3631.0       g 
 59994.218  19.089  19.055  19.016  5182.42     3631.0    cyan 
 59994.218  19.195  19.165   19.13  6366.38     3631.0       r 
 59994.218  19.234  19.206   19.17  6629.82     3631.0  orange 
 59994.259   19.06  19.024  18.985  4746.48     3631.0       g 
 59994.259  19.087  19.053  19.014  5182.42     3631.0    cyan 
 59994.259  19.193  19.163  19.128  6366.38     3631.0       r 
 59994.259  19.232  19.204  19.168  6629.82     3631.0  orange 
 59996.576   18.96  18.922  18.891  4746.48     3631.0       g 
 59996.576  18.984  18.953  18.919  5182.42     3631.0    cyan 
 59996.576   19.09  19.062  19.029  6366.38     3631.0       r 
 59996.576  19.127  19.102  19.068  6629.82     3631.0  orange 
 59997.084  18.939  18.902  18.871  4746.48     3631.0       g 
 59997.084  18.963  18.931  18.899  5182.42     3631.0    cyan 
 59997.084  19.068  19.041  19.008  6366.38     3631.0       r 
 59997.084  19.105  19.081  19.047  6629.82     3631.0  orange 
  59998.32   18.89  18.854  18.825  4746.48     3631.0       g 
  59998.32  18.912  18.882  18.853  5182.42     3631.0    cyan 
  59998.32  19.017  18.991   18.96  6366.38     3631.0       r 
  59998.32  19.053   19.03  18.999  6629.82     3631.0  orange 
 59999.626  18.842  18.806  18.777  4746.48     3631.0       g 
 59999.626  18.861  18.832  18.805  5182.42     3631.0    cyan 
 59999.626  18.964   18.94  18.911  6366.38     3631.0       r 
 59999.626  19.001  18.978  18.949  6629.82     3631.0  orange 
 60001.418  18.777  18.742  18.715  4746.48     3631.0       g 
 60001.418  18.796  18.768  18.742  5182.42     3631.0    cyan 
 60001.418  18.896  18.874  18.846  6366.38     3631.0       r 
 60001.418  18.933   18.91  18.885  6629.82     3631.0  orange 
 60002.676  18.733  18.701  18.674  4746.48     3631.0       g 
 60002.676  18.753  18.725    18.7  5182.42     3631.0    cyan 
 60002.676  18.848  18.828  18.802  6366.38     3631.0       r 
 60002.676  18.887  18.865   18.84  6629.82     3631.0  orange 
 60005.726  18.636  18.606  18.581  4746.48     3631.0       g 
 60005.726  18.652  18.628  18.605  5182.42     3631.0    cyan 
 60005.726  18.744  18.726  18.703  6366.38     3631.0       r 
 60005.726  18.781  18.762  18.739  6629.82     3631.0  orange 
 60008.776   18.55  18.522  18.497  4746.48     3631.0       g 
 60008.776  18.563   18.54  18.519  5182.42     3631.0    cyan 
 60008.776  18.651  18.632  18.613  6366.38     3631.0       r 
 60008.776  18.687  18.668  18.648  6629.82     3631.0  orange 
 60009.252  18.537  18.511  18.484  4746.48     3631.0       g 
 60009.252   18.55  18.527  18.506  5182.42     3631.0    cyan 
 60009.252  18.637  18.619  18.599  6366.38     3631.0       r 
 60009.252  18.673  18.655  18.634  6629.82     3631.0  orange 
 60011.825  18.473  18.447  18.422  4746.48     3631.0       g 
 60011.825  18.483  18.461  18.441  5182.42     3631.0    cyan 
 60011.825  18.566  18.549   18.53  6366.38     3631.0       r 
 60011.825  18.603  18.585  18.564  6629.82     3631.0  orange 
 60013.047  18.444   18.42  18.394  4746.48     3631.0       g 
 60013.047  18.454  18.432  18.412  5182.42     3631.0    cyan 
 60013.047  18.535  18.518  18.499  6366.38     3631.0       r 
 60013.047  18.571  18.554  18.533  6629.82     3631.0  orange 
  60013.15  18.442  18.417  18.392  4746.48     3631.0       g 
  60013.15  18.451   18.43   18.41  5182.42     3631.0    cyan 
  60013.15  18.532  18.516  18.496  6366.38     3631.0       r 
  60013.15  18.568  18.551  18.531  6629.82     3631.0  orange 
 60013.281  18.439  18.414  18.389  4746.48     3631.0       g 
 60013.281  18.448  18.427  18.407  5182.42     3631.0    cyan 
 60013.281  18.529  18.512  18.493  6366.38     3631.0       r 
 60013.281  18.565  18.548  18.527  6629.82     3631.0  orange 
 60014.345  18.415  18.391  18.366  4746.48     3631.0       g 
 60014.345  18.424  18.403  18.383  5182.42     3631.0    cyan 
 60014.345  18.503  18.486  18.467  6366.38     3631.0       r 
 60014.345  18.538  18.521  18.501  6629.82     3631.0  orange 
 60014.875  18.403   18.38  18.355  4746.48     3631.0       g 
 60014.875  18.412  18.391  18.371  5182.42     3631.0    cyan 
 60014.875   18.49  18.473  18.455  6366.38     3631.0       r 
 60014.875  18.525  18.509  18.489  6629.82     3631.0  orange 
 60015.321  18.394   18.37  18.345  4746.48     3631.0       g 
 60015.321  18.402  18.382  18.362  5182.42     3631.0    cyan 
 60015.321   18.48  18.464  18.444  6366.38     3631.0       r 
 60015.321  18.515  18.498  18.478  6629.82     3631.0  orange 
 60015.775  18.384  18.361  18.336  4746.48     3631.0       g 
 60015.775  18.392  18.372  18.353  5182.42     3631.0    cyan 
 60015.775  18.469  18.454  18.434  6366.38     3631.0       r 
 60015.775  18.504  18.487  18.468  6629.82     3631.0  orange 
 60017.188  18.356  18.334  18.309  4746.48     3631.0       g 
 60017.188  18.362  18.344  18.324  5182.42     3631.0    cyan 
 60017.188  18.437  18.422  18.403  6366.38     3631.0       r 
 60017.188  18.472  18.455  18.436  6629.82     3631.0  orange 
 60017.925  18.343   18.32  18.295  4746.48     3631.0       g 
 60017.925  18.347   18.33   18.31  5182.42     3631.0    cyan 
 60017.925  18.421  18.406  18.387  6366.38     3631.0       r 
 60017.925  18.455  18.439  18.421  6629.82     3631.0  orange 
 60018.341  18.335  18.312  18.287  4746.48     3631.0       g 
 60018.341  18.339  18.321  18.302  5182.42     3631.0    cyan 
 60018.341  18.412  18.397  18.379  6366.38     3631.0       r 
 60018.341  18.446   18.43  18.412  6629.82     3631.0  orange 
 60019.346  18.317  18.294  18.271  4746.48     3631.0       g 
 60019.346  18.319  18.302  18.284  5182.42     3631.0    cyan 
 60019.346  18.391  18.377  18.358  6366.38     3631.0       r 
 60019.346  18.425   18.41  18.391  6629.82     3631.0  orange 
 60020.975   18.29  18.267  18.245  4746.48     3631.0       g 
 60020.975   18.29  18.274  18.257  5182.42     3631.0    cyan 
 60020.975   18.36  18.345  18.327  6366.38     3631.0       r 
 60020.975  18.394  18.378  18.359  6629.82     3631.0  orange 
 60021.182  18.286  18.264  18.242  4746.48     3631.0       g 
 60021.182  18.286  18.271  18.253  5182.42     3631.0    cyan 
 60021.182  18.356  18.342  18.323  6366.38     3631.0       r 
 60021.182   18.39  18.374  18.355  6629.82     3631.0  orange 
   60021.2  18.286  18.263  18.241  4746.48     3631.0       g 
   60021.2  18.286   18.27  18.253  5182.42     3631.0    cyan 
   60021.2  18.356  18.341  18.323  6366.38     3631.0       r 
   60021.2   18.39  18.374  18.355  6629.82     3631.0  orange 
 60021.362  18.283  18.261  18.239  4746.48     3631.0       g 
 60021.362  18.283  18.267   18.25  5182.42     3631.0    cyan 
 60021.362  18.353  18.338   18.32  6366.38     3631.0       r 
 60021.362  18.387  18.371  18.352  6629.82     3631.0  orange 
 60023.303  18.251  18.236   18.22  5182.42     3631.0    cyan 
 60023.303  18.254  18.232  18.211  4746.48     3631.0       g 
 60023.303  18.318  18.304  18.286  6366.38     3631.0       r 
 60023.303  18.351  18.335  18.317  6629.82     3631.0  orange 
 60024.024   18.24  18.225   18.21  5182.42     3631.0    cyan 
 60024.024  18.243  18.222  18.201  4746.48     3631.0       g 
 60024.024  18.306  18.291  18.274  6366.38     3631.0       r 
 60024.024  18.339  18.322  18.304  6629.82     3631.0  orange 
 60025.039  18.226  18.211  18.195  5182.42     3631.0    cyan 
 60025.039   18.23  18.208  18.189  4746.48     3631.0       g 
 60025.039   18.29  18.275  18.257  6366.38     3631.0       r 
 60025.039  18.322  18.305  18.288  6629.82     3631.0  orange 
 60027.074  18.199  18.183  18.169  5182.42     3631.0    cyan 
 60027.074  18.205  18.183  18.165  4746.48     3631.0       g 
 60027.074  18.259  18.243  18.227  6366.38     3631.0       r 
 60027.074   18.29  18.273  18.257  6629.82     3631.0  orange 
 60027.324  18.195   18.18  18.166  5182.42     3631.0    cyan 
 60027.324  18.202   18.18  18.162  4746.48     3631.0       g 
 60027.324  18.255   18.24  18.224  6366.38     3631.0       r 
 60027.324  18.286  18.269  18.253  6629.82     3631.0  orange 
  60029.21  18.173  18.157  18.145  5182.42     3631.0    cyan 
  60029.21  18.182  18.161  18.142  4746.48     3631.0       g 
  60029.21  18.229  18.213  18.198  6366.38     3631.0       r 
  60029.21  18.259  18.243  18.226  6629.82     3631.0  orange 
 60030.124  18.163  18.147  18.136  5182.42     3631.0    cyan 
 60030.124  18.173  18.152  18.133  4746.48     3631.0       g 
 60030.124  18.217  18.201  18.187  6366.38     3631.0       r 
 60030.124  18.247  18.231  18.214  6629.82     3631.0  orange 
 60030.266  18.161  18.146  18.134  5182.42     3631.0    cyan 
 60030.266  18.171  18.151  18.132  4746.48     3631.0       g 
 60030.266  18.215  18.199  18.185  6366.38     3631.0       r 
 60030.266  18.245  18.229  18.212  6629.82     3631.0  orange 
 60031.159  18.152  18.137  18.126  5182.42     3631.0    cyan 
 60031.159  18.163  18.143  18.125  4746.48     3631.0       g 
 60031.159  18.204  18.188  18.175  6366.38     3631.0       r 
 60031.159  18.234  18.217  18.201  6629.82     3631.0  orange 
 60031.184  18.152  18.137  18.125  5182.42     3631.0    cyan 
 60031.184  18.163  18.142  18.124  4746.48     3631.0       g 
 60031.184  18.203  18.188  18.174  6366.38     3631.0       r 
 60031.184  18.233  18.217  18.201  6629.82     3631.0  orange 
 60031.281  18.151  18.136  18.125  5182.42     3631.0    cyan 
 60031.281  18.162  18.142  18.124  4746.48     3631.0       g 
 60031.281  18.202  18.187  18.173  6366.38     3631.0       r 
 60031.281  18.232  18.216    18.2  6629.82     3631.0  orange 
 60033.174  18.134   18.12  18.108  5182.42     3631.0    cyan 
 60033.174  18.147  18.127   18.11  4746.48     3631.0       g 
 60033.174   18.18  18.165  18.152  6366.38     3631.0       r 
 60033.174   18.21  18.193  18.178  6629.82     3631.0  orange 
 60034.346  18.124   18.11  18.099  5182.42     3631.0    cyan 
 60034.346  18.138   18.12  18.103  4746.48     3631.0       g 
 60034.346  18.168  18.153  18.139  6366.38     3631.0       r 
 60034.346  18.197  18.179  18.166  6629.82     3631.0  orange 
 60035.329  18.117  18.103  18.092  5182.42     3631.0    cyan 
 60035.329  18.132  18.114  18.098  4746.48     3631.0       g 
 60035.329  18.158  18.143   18.13  6366.38     3631.0       r 
 60035.329  18.187  18.169  18.156  6629.82     3631.0  orange 
 60036.183  18.111  18.098  18.086  5182.42     3631.0    cyan 
 60036.183  18.127   18.11  18.093  4746.48     3631.0       g 
 60036.183  18.151  18.135  18.122  6366.38     3631.0       r 
 60036.183  18.179  18.161  18.148  6629.82     3631.0  orange 
 60036.223  18.111  18.098  18.086  5182.42     3631.0    cyan 
 60036.223  18.126  18.109  18.093  4746.48     3631.0       g 
 60036.223   18.15  18.135  18.122  6366.38     3631.0       r 
 60036.223  18.179  18.161  18.147  6629.82     3631.0  orange 
 60036.285  18.111  18.097  18.085  5182.42     3631.0    cyan 
 60036.285  18.126  18.109  18.092  4746.48     3631.0       g 
 60036.285   18.15  18.135  18.121  6366.38     3631.0       r 
 60036.285  18.178   18.16  18.147  6629.82     3631.0  orange 
 60039.273  18.093  18.081  18.069  5182.42     3631.0    cyan 
 60039.273  18.112  18.096  18.082  4746.48     3631.0       g 
 60039.273  18.125   18.11  18.097  6366.38     3631.0       r 
 60039.273  18.152  18.135  18.121  6629.82     3631.0  orange 
  60039.36  18.092   18.08  18.069  5182.42     3631.0    cyan 
  60039.36  18.111  18.095  18.082  4746.48     3631.0       g 
  60039.36  18.125   18.11  18.096  6366.38     3631.0       r 
  60039.36  18.151  18.134  18.121  6629.82     3631.0  orange 
